index_content,word,nature,index_word
26,环境,n,2
28,朝食,n,0
28,美味,nz,1
28,地下,s,2
28,安心,v,3
28,宿泊思,nr,4
28,広,yg,5
28,州,n,6
28,張,q,7
28,時,ng,8
28,宿,v,9
28,頂,v,10
29,交通,n,0
29,位置,v,1
29,便利,a,2
29,购物,n,3
29,吃,v,4
30,不错,a,0
30,住,v,1
30,几天,m,2
30,性价比,n,3
30,高,a,4
30,推荐,v,5
31,格调,n,0
31,温馨,nr,1
31,电梯,n,2
31,楼层,n,3
31,设计,vn,4
31,服务到位,n,5
32,早餐,n,0
32,不错,a,1
32,交通,n,2
32,便利,a,3
33,早餐,n,0
33,不错,a,1
33,出行,v,2
34,不错,a,0
34,地理位置,n,1
35,服务,vn,0
35,环境,n,1
35,不错,a,2
37,位置,v,0
37,步行,n,1
37,几分钟,m,2
37,广州东站,ns,3
37,早餐,n,4
37,不错,a,5
37,房间,n,6
37,设施,n,7
37,不错,a,8
37,安静,nr,9
37,书桌,n,10
37,适合,v,11
37,工作,vn,12
37,服务员,n,13
37,热情,n,14
37,房间,n,15
37,清理,a,16
37,很好,a,17
38,不错,a,0
38,性价比,n,1
38,高,a,2
39,每次,r,0
39,广州,ns,1
39,入住,v,2
39,设施,n,3
39,旧,a,4
39,位置,v,5
39,市中心,n,6
39,周边,f,7
39,热闹,a,8
39,房间,n,9
39,简洁,a,10
39,干净,a,11
39,住,v,12
39,习惯,n,13
39,吸引,v,14
39,早餐,n,15
39,精致,a,16
39,终于,d,17
39,打卡,v,18
39,桑拿房,ns,19
39,不错,a,20
39,体验,n,21
40,整体,n,0
40,感觉,n,1
40,不错,a,2
41,好评,v,0
41,地理位置,n,1
42,配不上,v,0
42,五星级,b,1
42,感觉,n,2
42,骗,v,3
44,交通,n,0
45,交通,n,0
45,利,n,1
46,火车,n,0
46,东站,n,1
46,位置,v,2
47,讲,v,0
47,真,d,1
47,浴缸,n,2
47,吹风机,n,3
47,喜欢,v,4
47,装修,v,5
47,浴缸,n,6
47,拆,v,7
49,地点,n,0
49,服务,vn,1
49,贴心,v,2
50,时尚,n,0
50,适合,v,1
50,商务人士,n,2
51,房间,n,0
51,卫生间,n,1
51,设施,n,2
51,差,a,3
51,点,m,4
51,特别,d,5
51,快捷酒店,n,6
51,房间,n,7
51,装修,v,8
51,算,v,9
51,舒适,a,10
51,特别,d,11
51,旧,a,12
51,霉味,n,13
51,太重,n,14
51,走出,v,15
51,电梯,n,16
51,闻到,v,17
51,房间,n,18
51,特别,d,19
51,服务,vn,20
51,还行,v,21
51,笑脸相迎,i,22
51,早餐,n,23
51,不错,a,24
51,中式,n,25
51,西式,n,26
51,几样,m,27
51,早餐,n,28
52,交通,n,0
52,服务,vn,1
52,一流,n,2
53,坐,v,0
53,高铁,n,1
53,步行,n,2
53,米,q,3
53,广州东站,ns,4
53,出行,v,5
53,设施,n,6
53,出行,v,7
53,住,v,8
53,合适,a,9
53,周边,f,10
53,购物,n,11
53,吃饭,v,12
55,想,v,0
55,游泳,vn,1
55,女性,n,2
55,規定,n,3
55,戴,v,4
55,泳帽,n,5
55,不太好,v,6
56,环境,n,0
56,位置,v,1
57,地理位置,n,0
59,隔音,n,0
59,不太好,v,1
60,发黄,v,0
60,马桶盖,n,1
60,换房,nz,2
60,房间,n,3
60,五星级,b,4
60,标准,n,5
60,好评,v,6
60,骗,v,7
60,令人,nrt,8
60,失望,v,9
60,五星,nz,10
60,位置,v,11
60,一无是处,l,12
61,服务周到,i,0
61,热情,n,1
62,位置,v,0
62,房间,n,1
62,免费,vn,2
62,升级,vn,3
63,服务,vn,0
63,不错,a,1
63,位置,v,2
63,东站,n,3
63,对面,n,4
64,不错,a,0
64,性价比,n,1
64,高,a,2
65,靠近,v,0
65,地铁,n,1
66,免费,vn,0
66,升级,vn,1
66,满意,v,2
66,住房,n,3
66,干净,a,4
66,卫生,an,5
66,期待,v,6
66,入住,v,7
66,选择,v,8
66,这家,r,9
66,性价比,n,10
66,高,a,11
66,交通,n,12
67,服务,vn,0
67,房间,n,1
68,环境,n,0
68,位置,v,1
68,不错,a,2
69,不错,a,0
69,丶,y,1
69,推荐,v,2
69,这家,r,3
69,店,n,4
70,服务,vn,0
70,不错,a,1
71,学生,n,0
71,入住,v,1
71,晚上,t,2
71,吵,v,3
72,服务,vn,0
72,不错,a,1
73,真的,d,0
73,不敢恭维,l,1
73,设施,n,2
73,席梦思床,n,3
73,垫,zg,4
73,太软,a,5
73,提出,v,6
73,拿来,v,7
73,床板,n,8
73,放在,v,9
73,席梦思床,n,10
73,垫,v,11
73,浴缸,n,12
73,洗脸盆,l,13
73,水流,n,14
73,速度,n,15
73,慢,a,16
73,房间,n,17
73,隔音,n,18
73,效果,n,19
73,差,a,20
73,唯一,b,21
73,优点,n,22
73,离开,v,23
73,广州东站,ns,24
73,火车站,n,25
73,下次,t,26
73,再也不会,l,27
73,住,v,28
75,帮,v,0
75,朋友,n,1
75,订,v,2
75,不错,a,3
76,服务,vn,0
76,一流,n,1
77,不错,a,0
77,服务,vn,1
77,不错,a,2
78,房间,n,0
78,干净,a,1
78,卫生,an,2
78,韩女士,nr,3
78,服务,vn,4
78,满意,v,5
79,停车场,n,0
79,停车,v,1
79,地理位置,n,2
79,优越,a,3
79,出行,v,4
79,房间,n,5
79,整洁,a,6
79,干净,a,7
79,服务员,n,8
79,服务,vn,9
79,意识,n,10
79,态度,n,11
79,值得,v,12
79,入住,v,13
80,很棒,a,0
80,可爱,v,1
80,机器人,n,2
81,位置,v,0
81,超好,v,1
81,早餐,n,2
81,不错,a,3
84,火车,n,0
84,东站,n,1
84,一路,m,2
84,隔,v,3
84,坐火车,n,4
84,东站,n,5
84,东方,s,6
84,宝泰,nz,7
84,广场,n,8
84,里,f,9
84,吃,v,10
84,东西,ns,11
84,陶陶,nr,12
84,居,v,13
84,稍微,d,14
84,床头,n,15
84,插座,n,16
84,手机,n,17
84,充电,v,18
84,早餐,n,19
84,中,f,20
84,西式,n,21
84,韩日,nr,22
84,现,tg,23
84,滚,v,24
84,粥,n,25
84,挺不错,i,26
84,服务态度,n,27
84,不错,a,28
84,戒指,n,29
84,落,v,30
84,床头柜,n,31
84,服务员,n,32
84,发现,v,33
84,感谢,v,34
85,接待,v,0
85,服务,vn,1
87,服务,vn,0
87,房间,n,1
88,服务,vn,0
88,到位,v,1
89,交通,n,0
89,服务,vn,1
90,广州东站,ns,0
90,旁边,f,1
90,交通,n,2
90,便利,a,3
90,服务周到,i,4
90,热情,n,5
90,效率高,n,6
90,代表,n,7
90,中国,ns,8
90,服务水平,n,9
90,顶端,f,10
90,房间,n,11
90,设施,n,12
90,不错,a,13
90,早餐,n,14
90,品种,n,15
90,味道,n,16
90,不错,a,17
90,广州,ns,18
90,不错,a,19
90,选择,v,20
91,位置,v,0
91,地铁站,n,1
91,出口,vn,2
91,米,q,3
91,不到,v,4
91,样子,n,5
91,出行,v,6
91,老派,n,7
91,五星,nz,8
91,点,m,9
91,勉强,v,10
91,原,b,11
91,住,v,12
91,差距,n,13
91,不小,a,14
91,价格,n,15
91,便宜,a,16
91,算,v,17
91,对得起,v,18
91,价位,n,19
91,订,v,20
91,一晚,t,21
91,追加,v,22
91,三个,m,23
91,晚上,t,24
91,晚上,t,25
91,四楼,ns,26
91,中餐厅,n,27
91,消费,vn,28
91,气愤,n,29
91,消费,vn,30
91,透明,v,31
91,菜品,n,32
91,陶陶,nr,33
91,居,v,34
91,亲民,n,35
91,水准,n,36
91,透明,v,37
91,收费,n,38
91,陶陶,nr,39
91,居,v,40
91,倍,m,41
91,价格,n,42
91,中餐厅,n,43
91,价位,n,44
91,倍,m,45
91,着实,d,46
91,吓傻,v,47
91,图,n,48
91,证,n,49
91,鱼,n,50
91,便宜,a,51
92,卫生,an,0
92,干净,a,1
92,天净,nz,2
93,靠近,v,0
93,地铁,n,1
93,卫生,an,2
93,净,n,3
100,中国,ns,0
100,飞机,n,1
101,干净,a,0
101,卫生,an,1
102,酒店设施,n,0
102,服务,vn,1
102,周到,v,2
103,地理位置,n,0
103,優,zg,1
104,紧靠,a,0
104,广州东站,ns,1
104,第一次,m,2
104,住,v,3
104,感觉,n,4
104,不错,a,5
105,喜欢,v,0
105,结构,n,1
105,创意,v,2
105,景色,n,3
105,观江,ns,4
105,房值,n,5
106,环境,n,0
107,环境,n,0
111,服务态度,n,0
111,冷淡,a,1
111,迎宾,nr,2
111,服务员,n,3
111,服务员,n,4
111,脸上,s,5
111,看不到,v,6
111,一丝,m,7
111,笑容,n,8
111,冷冰冰,nr,9
111,自助,v,10
111,早餐,n,11
111,品种,n,12
111,自助,v,13
111,晚餐,n,14
111,价格,n,15
111,贵,a,16
111,优惠,vn,17
111,一位,m,18
111,菜品,n,19
111,少,a,20
111,性价比,n,21
111,差,a,22
111,点菜,n,23
111,吃饭,v,24
111,时,ng,25
111,汤,n,26
111,娃娃,n,27
111,菜,n,28
111,中,f,29
111,吃到,v,30
111,敲碎,v,31
111,瓷,n,32
111,碎片,n,33
111,餐饮,n,34
111,管理,vn,35
111,太,d,36
111,差,a,37
111,瓷,n,38
111,碎片,n,39
111,吃进,v,40
111,肚,n,41
111,后果,n,42
111,不堪设想,i,43
112,交通,n,0
112,便利,a,1
112,卫生,an,2
113,位置,v,0
113,优越,a,1
113,早餐,n,2
114,服务,vn,0
114,主动,b,1
114,询问,v,2
114,无烟,v,3
114,房,n,4
117,棒棒,n,0
118,地理位置,n,0
118,广州东站,ns,1
118,估计,v,2
118,走,v,3
118,不到,v,4
118,分钟,q,5
118,房间,n,6
118,设施,n,7
118,舒适,a,8
119,这家,r,0
119,住,v,1
119,干净,a,2
119,实惠,vn,3
119,五星,nz,4
119,交通,n,5
119,选择,v,6
120,接待,v,0
120,服务态度,n,1
121,延迟,v,0
121,下午,t,1
121,点,m,2
121,退房,v,3
121,早餐,n,4
121,周边,f,5
122,离店,n,0
122,延迟,v,1
122,下午,t,2
122,两点,m,3
122,好评,v,4
122,周边,f,5
123,交通,n,0
123,便利,a,1
123,卫生,an,2
124,位置,v,0
124,房間,n,1
124,太旧,ns,2
124,需,v,3
124,改善,v,4
125,环境,n,0
125,安静,nr,1
126,气派,n,0
126,服务,vn,1
128,总体,n,0
128,不错,a,1
128,环境,n,2
128,老牌,n,3
128,五星级,b,4
129,靠近,v,0
129,广州东站,ns,1
129,出差,v,2
129,旅行,vn,3
129,周边,f,4
129,小吃,n,5
129,众多,m,6
129,品尝,v,7
129,点,m,8
129,都德,nr,9
129,陶陶,nr,10
129,居,v,11
129,广州,ns,12
129,地道,n,13
129,美食,n,14
129,餐厅,n,15
129,不错,a,16
129,喜欢,v,17
129,竹升,n,18
129,面馆,n,19
129,筋道,n,20
129,可口,v,21
129,出门,v,22
129,左转,nr,23
129,遇,v,24
129,红绿灯,nr,25
129,左转,nr,26
129,即可,d,27
130,满意,v,0
130,房间,n,1
130,满意,v,2
130,位置,v,3
130,不错,a,4
131,干净,a,0
131,卫生,an,1
131,设施,n,2
131,齐全,nr,3
131,服务周到,i,4
133,服务,vn,0
133,帮,v,1
133,安排,v,2
133,无烟,v,3
133,房,n,4
134,服务,vn,0
134,回,v,1
134,介绍,v,2
134,朋友,n,3
135,活动,vn,0
135,合算,v,1
136,地理位置,n,0
137,地理位置,n,0
137,特别,d,1
137,房间,n,2
137,环境,n,3
137,豪华,a,4
137,喜欢,v,5
137,风格,n,6
138,东站,n,0
138,交通,n,1
138,便利,a,2
139,服务,vn,0
139,礼貌,n,1
139,客人,n,2
139,着想,v,3
139,客房,n,4
139,服务,vn,5
139,整体,n,6
139,不敢苟同,i,7
139,特别,d,8
139,服务,vn,9
139,幸好,a,10
139,第二天,m,11
139,第三天,m,12
139,一位,m,13
139,还算,v,14
139,可爱,v,15
139,男,n,16
139,服务生,n,17
139,早餐,n,18
139,不错,a,19
139,喜欢,v,20
140,服务,vn,0
140,点,m,1
140,赞,v,2
140,值班,v,3
140,经理,n,4
140,响应,v,5
142,旧,a,0
142,卫生,an,1
142,不错,a,2
143,早餐,n,0
143,不错,a,1
144,中规中矩,l,0
144,四星,nz,1
144,水平,n,2
144,价格,n,3
144,贵,a,4
144,点,m,5
144,出行,v,6
144,交通,n,7
144,便利,a,8
144,吃饭,v,9
144,下次,t,10
144,入住,v,11
145,不错,a,0
145,五星,nz,1
146,应,v,0
146,供应商,n,1
146,订,v,2
146,供应商,n,3
146,见面,n,4
146,洽谈,v,5
146,业务,n,6
146,环境,n,7
146,行,zg,8
146,东站,n,9
146,对面,n,10
146,卫生,an,11
146,不错,a,12
146,牙具,n,13
146,用品,n,14
146,房间内,n,15
146,预备,v,16
146,问,v,17
146,价格,n,18
146,收,v,19
146,贵,a,20
146,提供,v,21
146,牙具,n,22
146,感觉,n,23
147,位置,v,0
147,床,n,1
147,软,a,2
147,卫生,an,3
148,位置,v,0
148,设施,n,1
149,地理位置,n,0
149,不錯,a,1
149,服務,vn,2
149,態度,n,3
149,還,d,4
149,算,v,5
149,有待,v,6
149,加強,v,7
149,這次,r,8
149,入往,v,9
149,時間,n,10
149,不好,d,11
149,春節,t,12
149,期間,f,13
149,設施,n,14
149,大部分,m,15
149,暫停,d,16
149,營業,n,17
149,下次,t,18
149,來,v,19
149,廣州,ns,20
149,還,d,21
149,會,v,22
149,入,v,23
150,东站,n,0
152,地下,s,0
152,駅,zg,1
152,各種,r,2
152,付近,v,3
152,良,a,4
152,朝食,n,5
152,比較,d,6
152,選,v,7
152,択,zg,8
152,肢,ng,9
152,良,nr,10
152,思,v,11
152,少,a,12
152,冷,a,13
152,料理,v,14
152,残念,n,15
152,国柄,n,16
152,部屋,n,17
152,扉開,n,18
152,大声,m,19
152,歓,yg,20
152,談,v,21
152,騒,zg,22
152,残念,n,23
152,係,zg,24
154,服务态度,n,0
155,沙发,nz,0
155,舒适,a,1
156,豪华,a,0
156,房,n,1
156,舒适,a,2
157,利用,n,0
157,設備,vn,1
157,泊,ng,2
157,問題,n,3
157,思,n,4
157,出張,v,5
157,時,n,6
157,利用,n,7
157,思,n,8
158,設備,vn,0
158,泊,ng,1
158,問題,n,2
158,思,n,3
158,毎,yg,4
158,回,v,5
158,張,q,6
158,時,ng,7
158,利用,n,8
158,出張,v,9
158,時,n,10
158,利用,n,11
158,思,n,12
159,很好,a,0
159,朋友,n,1
159,广州,ns,2
159,喜欢,v,3
159,住,v,4
159,这家,r,5
159,交通,n,6
159,东站,n,7
160,淋雨,n,0
160,设备,vn,1
160,分开,v,2
162,卫生,an,0
162,环境,n,1
162,服务,vn,2
162,地理位置,n,3
162,不错,a,4
163,总体,n,0
163,服务,vn,1
163,感觉,n,2
163,谢谢,nr,3
164,还行,v,0
164,设施,n,1
164,一点,m,2
165,不错,a,0
165,机场,n,1
165,班,n,2
165,车站,n,3
166,中规中矩,l,0
166,一家,m,1
166,星级,n,2
166,广州市,ns,3
166,天河区,ns,4
166,东站,n,5
166,硬件,n,6
166,设备,vn,7
166,算是,v,8
166,新,a,9
166,早餐,n,10
166,选择,v,11
166,少,a,12
166,游泳池,n,13
167,早餐,n,0
167,真心,d,1
168,地點,n,0
168,服務,vn,1
168,不錯,a,2
169,早餐,n,0
169,位置,v,1
169,广州,ns,2
169,火车,n,3
169,东站,n,4
169,旁边,f,5
169,出行,v,6
169,楼下,s,7
169,马路,n,8
169,公交车,n,9
169,总站,n,10
169,楼下,s,11
169,地铁,n,12
169,对面,n,13
169,大型商场,n,14
169,餐饮,n,15
169,选择,v,16
170,位置,v,0
170,房间,n,1
170,舒适,a,2
171,交通,n,0
171,便捷,a,1
171,东站,n,2
172,交通,n,0
172,地理位置,n,1
173,错误,n,0
173,选择,v,1
173,一层楼,n,2
173,几间,m,3
173,房开,nr,4
173,卫生,an,5
173,地板,n,6
173,边角,n,7
173,头发,n,8
173,房价,n,9
173,平时,t,10
173,低,a,11
173,东西,ns,12
173,一概,d,13
173,全,a,14
173,接受,v,15
173,早餐,n,16
173,不让,v,17
173,堂食,n,18
173,只能,v,19
173,吃,v,20
173,套餐,n,21
173,三个,m,22
173,饭盒,n,23
173,冷,a,24
173,炒面,n,25
173,温度,n,26
173,粥,n,27
173,五个,m,28
173,表面,n,29
173,稀烂,a,30
173,点心,v,31
173,厨房,n,32
173,做,v,33
173,感觉,n,34
173,肠粉,n,35
173,店,n,36
173,水平,n,37
173,五星级,b,38
173,入住,v,39
173,汉庭,nr,40
174,不错,a,0
174,服务态度,n,1
175,时期,n,0
175,服务,vn,1
175,不错,a,2
175,贴心,v,3
175,早餐,n,4
175,送,v,5
175,房间,n,6
175,设施,n,7
175,稍微,d,8
175,旧,a,9
175,老牌,n,10
175,五星级,b,11
175,标准,n,12
175,依然,d,13
175,停车场,n,14
175,不错,a,15
175,位置,v,16
175,还好,v,17
175,吃饭,v,18
176,房间,n,0
176,交通,n,1
176,高级,b,2
177,很好,d,0
177,专业,n,1
177,押金,n,2
177,哈哈哈,o,3
179,老牌,n,0
179,位子,n,1
179,优越,a,2
179,不错,a,3
182,房间,n,0
182,干净,a,1
182,舒服,a,2
182,淋浴间,n,3
182,高层建筑,l,4
182,早餐,n,5
182,品种,n,6
182,味道,n,7
182,不错,a,8
182,咖啡,n,9
182,精致,a,10
182,广州火车站,nt,11
182,东站,n,12
182,旁边,f,13
182,步行,n,14
182,分钟,q,15
182,坐,v,16
182,动车,n,17
182,深圳,ns,18
182,香港,ns,19
183,客服,n,0
184,高铁,n,0
184,站,v,1
184,马路,n,2
185,总体,n,0
185,满意,v,1
185,干净,a,2
185,安静,nr,3
185,服务,vn,4
185,贴心,v,5
185,后续,v,6
185,入住,v,7
186,设施,n,0
186,太,d,1
186,旧,a,2
187,地址,n,0
187,出行,v,1
188,位置,v,0
188,交通,n,1
188,便利,a,2
188,停车,v,3
188,早餐,n,4
188,中午,t,5
188,中餐厅,n,6
188,喝茶,v,7
189,酒店设施,n,0
189,不错,a,1
189,环境,n,2
189,下次,t,3
189,入住,v,4
190,疫情,n,0
190,之下,f,1
190,生意,v,2
190,惨淡,z,3
190,五星级,b,4
190,外卖,v,5
190,早点,d,6
190,套餐,n,7
190,入住,v,8
190,填写,v,9
190,几张,m,10
190,无用,v,11
190,表格,n,12
190,....,m,13
190,扫码,n,14
191,疫情,n,0
191,期间,f,1
191,自助,v,2
191,早餐,n,3
191,第一天,m,4
191,楼,n,5
191,中餐厅,n,6
191,吃,v,7
191,早餐,n,8
191,早点,d,9
191,正宗,nz,10
191,只能,v,11
191,任选,v,12
191,份,q,13
191,每份,r,14
191,好吃,v,15
191,不好,d,16
191,太慢,a,17
191,点,m,18
191,份,q,19
191,点心,v,20
191,只上,v,21
191,份,q,22
191,问,v,23
191,是现,v,24
191,做,v,25
191,比较慢,l,26
191,好奇,a,27
191,粥,n,28
191,要现,v,29
191,煮,v,30
191,小时,n,31
191,第二天,m,32
191,早餐,n,33
191,一楼,n,34
191,大厅,n,35
191,选,v,36
191,西式,n,37
191,套餐,n,38
191,还行,v,39
191,总得来说,l,40
191,吃,v,41
191,东西,ns,42
191,好吃,v,43
191,小时,n,44
191,早餐,n,45
191,第一次,m,46
191,房间,n,47
191,五星级,b,48
191,感觉,n,49
191,四星,nz,50
191,卫生间,n,51
191,太旧,ns,52
191,不咋地,z,53
193,旧,a,0
193,早餐,n,1
193,不错,a,2
193,中餐厅,n,3
193,定制,v,4
193,上餐,v,5
193,很慢,a,6
193,开,v,7
193,增值税,n,8
193,专用发票,n,9
193,只能,v,10
193,开普票,n,11
195,超乎,v,0
195,想象,n,1
196,入住,v,0
196,体验,n,1
196,服务态度,n,2
198,位置,v,0
198,早餐,n,1
198,不错,a,2
198,服务,vn,3
199,广州东站,ns,0
199,出行,v,1
200,公司,n,0
200,周边,f,1
200,东站,n,2
200,出差,v,3
200,首选,v,4
202,不错,a,0
202,防控,vn,1
202,做,v,2
203,服务,vn,0
203,卫生,an,1
204,住,v,0
204,环境,n,1
206,棒,zg,0
206,性价比,n,1
206,超高,v,2
206,干净,a,3
206,卫生,an,4
206,床,n,5
206,舒服,a,6
207,保证,v,0
207,措施,n,1
207,做,v,2
207,很好,a,3
208,紧邻,v,0
208,广州东站,ns,1
208,对面,n,2
208,有个,r,3
208,大型,b,4
208,购物广场,n,5
210,公司,n,0
210,出差,v,1
210,房间,n,2
210,干净,a,3
210,舒服,a,4
210,早餐,n,5
210,品种,n,6
210,咖啡,n,7
210,味道,n,8
210,不错,a,9
210,广州火车站,nt,10
210,东站,n,11
210,旁边,f,12
210,步行,n,13
210,分钟,q,14
210,坐,v,15
210,动车,n,16
210,深圳,ns,17
210,香港,ns,18
211,公司,n,0
211,出差,v,1
211,房间,n,2
211,干净,a,3
211,早餐,n,4
211,品种,n,5
211,还算,v,6
211,咖啡,n,7
211,不错,a,8
211,广州火车站,nt,9
211,旁边,f,10
211,步行,n,11
211,分钟,q,12
211,时间,n,13
211,下次,t,14
211,入住,v,15
213,环境,n,0
213,位置,v,1
213,服务,vn,2
213,不错,a,3
213,住,v,4
213,推荐,v,5
214,位置,v,0
214,干净利落,n,1
218,服务,vn,0
219,早餐,n,0
219,房间,n,1
219,服务,vn,2
219,人员,n,3
219,态度,n,4
220,交通,n,0
220,便捷,a,1
220,热情,n,2
220,礼,n,3
220,很棒,a,4
221,交通,n,0
221,便利,a,1
221,商场,n,2
224,交通,n,0
224,接触,v,1
224,服务,vn,2
224,人员,n,3
224,专业,n,4
226,位置,v,0
226,便利,a,1
226,购物,n,2
227,环境,n,0
227,舒适,a,1
227,不错,a,2
227,特别,d,3
227,服务,vn,4
227,赞,v,5
228,疫情,n,0
228,期间,f,1
228,住房,n,2
228,早餐,n,3
228,种类,n,4
228,面包,n,5
228,妙,a,6
228,饭,n,7
228,鸡蛋,n,8
228,白粥,n,9
228,住,v,10
228,时期,n,11
228,办法,n,12
229,不错,a,0
229,服务,vn,1
229,优秀,a,2
230,安静,nr,0
230,不错,a,1
230,地铁,n,2
231,交通,n,0
231,性价比,n,1
231,高,a,2
232,靠近,v,0
232,地铁,n,1
232,很好,d,2
232,很好,a,3
232,很好,a,4
233,位置,v,0
233,特别,d,1
233,喜欢,v,2
233,东站,n,3
233,中信,nz,4
233,预算,v,5
233,够,zg,6
233,建议,n,7
233,天,n,8
233,河北,ns,9
233,住,v,10
234,干净,a,0
234,卫生,an,1
235,位置,v,0
235,火车,n,1
235,东站,n,2
235,旁边,f,3
235,火车,n,4
235,公交,n,5
235,地铁,n,6
235,的士,n,7
235,机场,n,8
235,直达,v,9
235,对面,n,10
235,有永旺,nr,11
235,周边,f,12
235,吃,v,13
236,位置,v,0
236,便利商店,n,1
237,酒店设施,n,0
237,小姐姐,nr,1
237,热情,n,2
238,老牌,n,0
238,中规中矩,l,1
238,性价比,n,2
238,高,a,3
239,早餐,n,0
239,三种,m,1
239,疫情,n,2
239,期间,f,3
239,房间,n,4
239,家具,n,5
239,旧,a,6
239,改进,v,7
239,吃,v,8
239,东西,ns,9
239,味道,n,10
239,要加,v,11
239,百分之十五,m,12
239,服务费,n,13
241,位置,v,0
241,餐饮,n,1
241,交通,n,2
241,房间,n,3
241,设施,n,4
241,服务,vn,5
241,令人,nrt,6
241,感到,v,7
241,舒心,a,8
243,位置,v,0
243,优越,a,1
243,环境,n,2
243,干净,a,3
243,服务,vn,4
243,热情,n,5
243,入住,v,6
246,环境,n,0
246,挺不错,i,1
246,性价比,n,2
246,高,a,3
247,位置,v,0
247,超级,b,1
247,靠近,v,2
247,地铁站,n,3
247,超市,v,4
248,住房,n,0
248,舒适,a,1
248,透气,n,2
249,领导,n,0
249,满意,v,1
249,服务态度,n,2
249,差,a,3
249,超好,v,4
249,感谢,v,5
250,性价比,n,0
250,高,a,1
250,价格,n,2
250,合适,a,3
251,早餐,n,0
251,环境,n,1
251,舒适,a,2
251,居家,n,3
251,出差,v,4
251,必备,v,5
252,广州,ns,0
252,住,v,1
254,环境,n,0
254,五星,nz,1
255,位置,v,0
255,服务,vn,1
255,不错,a,2
257,地理位置,n,0
257,挺不错,i,1
258,隔声,n,0
258,差,a,1
259,设施,n,0
259,位置,v,1
259,不错,a,2
259,交通,n,3
260,对得起,v,0
260,价格,n,1
260,国际,n,2
260,高档,b,3
260,品牌,n,4
260,相差,v,5
260,甚远,d,6
260,早餐,n,7
260,单一,b,8
260,感觉,n,9
260,没什么,l,10
260,吃,v,11
260,服务,vn,12
260,房间,n,13
260,交通,n,14
260,不错,a,15
263,不错,a,0
263,床垫,n,1
263,布草,n,2
263,不亚于,v,3
263,国际品牌,n,4
264,位置,v,0
264,便利,a,1
264,靠近,v,2
264,车站,n,3
264,地铁,n,4
265,位置,v,0
265,便利,a,1
265,商场,n,2
266,不错,a,0
266,环境,n,1
267,态度,n,0
267,不好,d,1
268,服务,vn,0
268,不错,a,1
269,火车站,n,0
269,房间,n,1
269,条件,n,2
269,很早,d,3
269,离开,v,4
269,早点,d,5
270,飞猪,n,0
270,便宜,a,1
270,收,v,2
270,押金,n,3
271,自助餐,v,0
271,匹配,v,1
271,五星,nz,2
271,水准,n,3
271,外包装,n,4
271,哈根达斯,nrt,5
271,正宗,nz,6
271,吃,v,7
271,口,q,8
271,打扫卫生,nz,9
271,入住,v,10
271,枕头,n,11
271,很脏,a,12
271,价格,n,13
271,值得,v,14
271,住,v,15
272,好好,d,0
272,靠近,v,1
272,地铁站,n,2
275,房间,n,0
275,不错,a,1
276,环境,n,0
276,不错,a,1
278,朋友,n,0
278,接受,v,1
279,交通,n,0
